code,description,concept_id,vocabulary_id,domain_id,standard_concept
HKCA004,"Suture wound of the anus, without repair of the external sphincter muscle of the anus",,,,Non-standard
EGCA002,"Suture wound of the trunk or visceral branches of the iliac vein and / or the infrahepatic inferior vena cava, by laparotomy",,,,Non-standard
01.05.03.02,"Suture, autograft and neurotization of the brachial plexus",,,,Non-standard
AHCA014,"Suture, graft and / or neurotization of the lumbosacral plexus, by direct approach",,,,Non-standard
AHCA022,"Suture, non-pedicled autograft and / or neurotization of the brachial plexus, by infraclavicular approach",,,,Non-standard
AHCA001,"Suture, non-pedicled autograft and / or neurotization of the brachial plexus, by supraclavicular approach",,,,Non-standard
AHCA020,"Suture, non-pedicled autograft and / or neurotization of the brachial plexus, by supraclavicular approach and by infraclavicular approach",,,,Non-standard
BDCA002,Suturing multiple unilateral or bilateral corneal wounds,,,,Non-standard
BDCA003,Suturing of a linear non-transfixing corneal wound,,,,Non-standard
BDCA004,Suturing of a linear penetrating corneal wound,,,,Non-standard
BDCA001,Suturing of a nonlinear corneal wound,,,,Non-standard
AHCA006,"Suturing of median and ulnar nerve wounds at the wrist, by direct approach",,,,Non-standard
AHCA017,"Suturing of median nerve and ulnar nerve wounds at the wrist with suturing of radial artery and ulnar artery wounds, by direct approach",,,,Non-standard
AHCA008,"Suturing of median nerve and ulnar nerve wounds at wrist with suture of radial artery or ulnar artery wound, by direct approach",,,,Non-standard
MJCA003,"Suturing of tendon wounds of the flexor muscles of the fingers, palmar digital nerve and artery, on a spoke of the hand",,,,Non-standard
HKMA003,Suturing of the external sphincter muscle of the anus [Direct anal sphincterorrhaphy] for anal incontinence,,,,Non-standard
HKMA002,"Suturing of the external sphincter muscle of the anus [Direct anal sphincterorrhaphy] for anal incontinence, with myorrhaphy of the levator ani muscles",,,,Non-standard
07.03.02.03,Suturing of the stomach and duodenum,,,,Non-standard
AHCA015,"Suturing of wounds of a digital palmar nerve and a palmar digital artery, on a spoke of the hand",,,,Non-standard
MJCA006,"Suturing wounds of a tendon of a flexor digitorum muscle and a digital palmar nerve, on a spoke of the hand",,,,Non-standard
HQRP001,"Swallowing rehabilitation session, with instrumental control",,,,Non-standard
BCPA002,"Symblepharon release, with conjunctiva or mucous membrane autograft",,,,Non-standard
BCPA004,"Symblepharon release, without autograft",,,,Non-standard
LAEA006,"Symmetrical or asymmetrical frontoorbital advancement with frontal reshaping, by craniotomy",,,,Non-standard
LAEA002,"Symmetrical or asymmetrical frontoorbital advancement without frontal remodeling, by craniotomy",,,,Non-standard
01.06.04,Sympathectomy,,,,Non-standard
AJFA002,"Sympathectomy of the metacarpal and digital arteries, by direct approach",,,,Non-standard
MHFA001,"Synovectomy of a metacarpophalangeal or interphalangeal joint of a finger, by direct approach",,,,Non-standard
MHFA003,"Synovectomy of several metacarpophalangeal and / or interphalangeal finger joints, by direct approach",,,,Non-standard
14.03.02.11,Synovectomy of the coxofemoral joint,,,,Non-standard
14.03.05.05,Synovectomy of the foot joints,,,,Non-standard
14.03.03.10,Synovectomy of the knee joint,,,,Non-standard
NFFC001,"Synovectomy of the knee, by anterior arthroscopy and by posterior arthroscopy",,,,Non-standard
NFFA006,"Synovectomy of the knee, by anterior arthrotomy and by posterior arthrotomy with change of patient position",,,,Non-standard
NFFA002,"Synovectomy of the knee, by anterior arthrotomy and by posterior arthrotomy without changing the patient's position",,,,Non-standard
13.03.02.11,Synovectomy of the scapulohumeral joint,,,,Non-standard
MGFA007,"Synovial cyst excision of the wrist, by direct approach",,,,Non-standard
MGFA004,"Synovial cyst excision with tenosynovectomy of the wrist extensors, by direct approach",,,,Non-standard
DFCA003,"Systemicopulmonary arterial anastomosis with prosthesis, by thoracotomy without CEC",,,,Non-standard
DFCA009,"Systemicopulmonary arterial anastomosis without prosthesis, by thoracotomy without CEC",,,,Non-standard
LDEP001,Table top cervical spine lengthening session,,,,Non-standard
NDFA003,Talectomy with creation of tibiopedious nearthrosis,,,,Non-standard
NDFA001,Talectomy with tibiotarsal arthrodesis,,,,Non-standard
NHDA011,"Talocalcaneal arthrodesis [subtalar], by arthrotomy",,,,Non-standard
EHBD001,Tamponade of esogastric varices by balloon catheter,,,,Non-standard
QZFA010,Tangential resection of 1 to 20 molluscum contagiosum,,,,Non-standard
QZFA028,Tangential resection of 1 to 5 skin lesions,,,,Non-standard
QZFA015,Tangential resection of 21 or more molluscum contagiosum,,,,Non-standard
QZFA021,Tangential resection of 6 or more skin lesions,,,,Non-standard
14.02.05.01,Tarsal fracture osteosynthesis,,,,Non-standard
14.02.05.02,Tarsal osteotomy,,,,Non-standard
02.02.08,Tarsorrhaphy and blepharorrhaphy,,,,Non-standard
BBSP001,"Tear point closure, by cauterization or with laser",,,,Non-standard
BBLA001,Tear pump installation,,,,Non-standard
BBHA002,Tear sac biopsy,,,,Non-standard
BBLD003,Tearing of the tear ducts,,,,Non-standard
16,TEGUMENTARY SYSTEM - MAMMARY GLAND,,,,Non-standard
NZQK004,Telemetry of the lower limbs by CT scan,,,,Non-standard
LHQK004,Teleradiography of the entire spine according to 1 incidence,,,,Non-standard
LHQK002,Teleradiography of the entire spine according to 2 views,,,,Non-standard
LHQK003,Teleradiography of the entire spine according to 2 views with additional segmental view,,,,Non-standard
LAQK012,Teleradiography of the skull and facial mass according to 1 incidence,,,,Non-standard
LAQK001,Teleradiography of the skull and facial mass according to 2 views,,,,Non-standard
LAQK008,Teleradiography of the skull and facial mass according to 3 views,,,,Non-standard
BAEA003,Temporal muscle transfer for eyelid resuscitation,,,,Non-standard
MHDB001,"Temporary arthritis of a metacarpophalangeal or interphalangeal joint of a finger by wire, transcutaneously",,,,Non-standard
DERF004,"Temporary electrical stimulation of the atrium and / or ventricle to interrupt ventricular tachycardia, transcutaneously vascular",,,,Non-standard
DERD001,"Temporary electrical stimulation of the atrium through the esophagus, to interrupt supraventricular tachycardia",,,,Non-standard
DERF003,"Temporary electrical stimulation of the atrium to interrupt supraventricular tachycardia, via the transcutaneous venous route",,,,Non-standard
BGBA002,Temporary intraocular tamponade by intraoperative use of perfluorocarbon,,,,Non-standard
DHSF001,"Temporary partial obliteration of the inferior vena cava, via the transcutaneous venous route",,,,Non-standard
LBMA003,"Temporomandibular disc reconstruction, by arthrotomy",,,,Non-standard
LBFA013,"Temporomandibular discectomy, by arthrotomy",,,,Non-standard
LBDA001,"Temporomandibular discopexy, by arthrotomy",,,,Non-standard
LBLB002,"Temporomandibular periarticular infiltration, transcutaneously",,,,Non-standard
15.03.05,"Tendon and fascia section, unspecified topographic",,,,Non-standard
13.04.01.02,Tendon disinsertion in the shoulder girdle and arm,,,,Non-standard
13.04.02.02,Tendon lengthening in the forearm and hand,,,,Non-standard
14.04.03.02,Tendon lengthening in the leg and foot,,,,Non-standard
PCMA001,"Tendon lengthening or shortening plasty by doubling or turning over, by direct approach",,,,Non-standard
PCPA006,"Tendon reflection pulley enlargement section or plasty, by direct approach",,,,Non-standard
13.04.02.03,Tendon release [Tenolysis] and tenosynovectomy in the forearm and hand,,,,Non-standard
14.04.02.03,"Tendon release [Tenolysis], tenosynovectomy and tendon combing in the knee",,,,Non-standard
14.04.03.03,"Tendon release [Tenolysis], tenosynovectomy and tendon combing in the leg and foot",,,,Non-standard
13.04.02.01,Tendon repair in wrist and hand,,,,Non-standard
14.04.01.02,Tendon section [Tenotomy] at the hip and thigh,,,,Non-standard
14.04.03.05,Tendon section [Tenotomy] in the leg and foot,,,,Non-standard
NJPB001,"Tendon section for correction of defective hip posture, transcutaneously",,,,Non-standard
NJEA009,Tendon transfer and / or tenodesis for re-establishment of dorsiflexion of the ankle,,,,Non-standard
NJEA011,Tendon transfer and / or tenodesis for re-establishment of plantar flexion of the ankle,,,,Non-standard
NJEA006,Tendon transfer and / or tenodesis to reestablish eversion or inversion of the foot,,,,Non-standard
MJEA009,Tendon transfer and / or tenodesis to restore thumb closure,,,,Non-standard
NJEA008,Tendon transfer for restoration of extension of the first toe,,,,Non-standard
NJEA010,Tendon transfer to restore intrinsic function of the first toe and / or lateral toes,,,,Non-standard
MZMA004,"Tendon wound suture with median nerve wound suture, anterior side of the wrist",,,,Non-standard
MJDC001,"Tenodesis and / or resection of the articular portion of the long biceps brachii muscle, by arthroscopy",,,,Non-standard
MJDA001,"Tenodesis and / or resection of the articular portion of the long biceps brachii muscle, by direct approach",,,,Non-standard
PCDA001,"Tenodesis, by direct approach",,,,Non-standard
NJFA005,Tenosynovectomy of multiple hindfoot tendons,,,,Non-standard
MJFA013,"Tenosynovectomy of the extensor muscles at the wrist with joint synovectomy of the wrist and arthrodesis or arthroplasty of 3 or more fingers, by direct approach",,,,Non-standard
MJFA016,"Tenosynovectomy of the extensor muscles at the wrist with joint synovectomy of the wrist and arthrodesis or arthroplasty of one or two fingers, by direct approach",,,,Non-standard
MJFA002,"Tenosynovectomy of the extensor muscles at the wrist with joint synovectomy of the wrist, distal radio-ulnar arthrodesis and osteotomy of the ulna, by direct approach",,,,Non-standard
MJFA007,"Tenosynovectomy of the extensor muscles at the wrist with joint synovectomy of the wrist, resection of the distal end of the ulna and tendon transfer, by direct approach",,,,Non-standard
MJFA014,"Tenosynovectomy of the extensor muscles in the wrist with joint synovectomy of the wrist, by direct approach",,,,Non-standard
MJFA004,"Tenosynovectomy of the extensor muscles in the wrist, by direct approach",,,,Non-standard
MJFA018,"Tenosynovectomy of the flexor muscles in the wrist or palm of the hand, by direct approach",,,,Non-standard
MJFA015,"Tenosynovectomy of the flexor muscles of the fingers on a radius of the hand, by direct approach",,,,Non-standard
MJFA012,"Tenosynovectomy of the flexor muscles of the fingers on several rays of the hand, by direct approach",,,,Non-standard
LCPA002,"Tenotomy of the sternocleidomastoid muscle, for congenital torticollis",,,,Non-standard
PCPA005,"Tenotomy, by direct approach",,,,Non-standard
PCPB002,"Tenotomy, transcutaneously",,,,Non-standard
FGRB006,Test for introduction or reintroduction of an allergen by injection at a fixed concentration,,,,Non-standard
FGRB007,Test for the introduction or reintroduction of an allergen by injection at increasing concentration,,,,Non-standard
ALQP002,Test to assess the intellectual efficiency of the child,,,,Non-standard
08.03.02.01,Testicular resection,,,,Non-standard
05.03.02,Therapeutic acts concerning hematopoiesis,,,,Non-standard
04.06,THERAPEUTIC ACTS FOR CONGENITAL MALFORMATION OF THE HEART AND SUPRACARDIAC VESSELS,,,,Non-standard
13.04.03.01,Therapeutic acts for hand infection,,,,Non-standard
09.03.04.02,Therapeutic acts for postpartum hemorrhage,,,,Non-standard
09.04,THERAPEUTIC ACTS IN THE FETUS,,,,Non-standard
09.05,THERAPEUTIC ACTS IN THE NEWBORN AT BIRTH,,,,Non-standard
05.02.03,Therapeutic acts of allergology,,,,Non-standard
